SỞ Y TẾ HÀ NỘI
BỆNH VIỆN TIM HÀ NỘI
VÌ MỘT TRÁI TIM KHỎE

BẢNG GIÁ BẢO HIỂM Y TẾ

===================================================================
MỤC LỤC
===================================================================
DANH MỤC                                             CHỈ MÀU ĐÁNH DẤU
1. BẢNG GIÁ KHÁM BỆNH VÀ NGÀY GIƯỜNG                 (tím)
2. BẢNG GIÁ XÉT NGHIỆM                                (cam)
3. BẢNG GIÁ THỦ THUẬT VÀ CHẨN ĐOÁN HÌNH ẢNH           (xanh lá)
4. BẢNG GIÁ CHỤP CỘNG HƯỞNG TỪ                        (vàng)
5. BẢNG GIÁ CHỤP CẮT LỚP VI TÍNH                      (đỏ)
6. BẢNG GIÁ CAN THIỆP TIM MẠCH                        (xanh dương)

Ghi chú chung: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT
của Bộ Y tế hiện hành (một số mục Chụp cắt lớp vi tính áp dụng thêm
điều kiện thanh toán tại Thông tư số 13/2020 của Bộ Y tế hiện hành).
Đơn vị tính: VNĐ

===================================================================
1. BẢNG GIÁ BẢO HIỂM Y TẾ - KHÁM BỆNH VÀ NGÀY GIƯỜNG ĐIỀU TRỊ
===================================================================
STT | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | Khám bệnh | 42.100 |
2 | Giường Nội khoa | 255.300 |
3 | Giường Hồi sức cấp cứu | 474.700 |
4 | Giường Hồi sức tích cực | 786.300 |
5 | Giường Ngoại khoa loại 1 | 339.000 |
6 | Giường Ngoại khoa loại 2 | 308.500 |
7 | Giường Ngoại khoa loại 3 | 270.500 |
8 | Giường Ngoại khoa loại 4 | 242.100 |

===================================================================
2. BẢNG GIÁ BẢO HIỂM Y TẾ - XÉT NGHIỆM
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
63 | 02.0316.0004 | Siêu âm Doppler mạch máu hệ tĩnh cửa hoặc mạch máu ổ bụng | 233.000 |
64 | 18.0031.0004 | Siêu âm Doppler tử cung, buồng trứng qua đường âm đạo | 233.000 |
65 | 02.0116.0007 | Siêu âm tim 4D [Để thực hiện các phẫu thuật hoặc can thiệp tim mạch] | 468.000 | Chỉ áp dụng trong trường hợp chỉ định để thực hiện các phẫu thuật hoặc can thiệp tim mạch.
66 | 18.0066.0003 | Siêu âm 3D/4D trực tràng | 186.000 |
67 | 02.0113.0004 | Siêu âm Doppler tim | 233.000 |
68 | 18.0048.0004 | Doppler động mạch cảnh, Doppler xuyên sọ | 233.000 |
69 | 18.0045.0004 | Siêu âm Doppler động mạch, tĩnh mạch chi | 233.000 |
70 | 18.0024.0004 | Siêu âm Doppler động mạch thận | 233.000 |
71 | 02.0112.0004 | Siêu âm Doppler mạch máu | 233.000 |
72 | 02.0115.0005 | Siêu âm tim cản âm | 268.000 |
73 | 18.0043.0001 | Siêu âm khớp (gối, háng, khuỷu, cổ tay….) | 49.300 |
74 | 18.0044.0001 | Siêu âm phần mềm (da, tổ chức dưới da) | 49.300 |
75 | 18.0011.0001 | Siêu âm màng phổi | 49.300 |
76 | 18.0001.0001 | Siêu âm tuyến giáp | 49.300 |
77 | 18.0054.0001 | Siêu âm tuyến vú hai bên | 49.300 |
78 | 18.0023.0004 | Siêu âm Doppler mạch máu ổ bụng (động mạch chủ, mạc treo tràng trên, thân tạng…) | 233.000 |
79 | 02.0114.0006 | Siêu âm tim gắng sức (thảm chạy, thuốc) | 598.000 |
80 | 02.0117.0008 | Siêu âm tim qua thực quản | 816.000 |
81 | 18.0018.0001 | Siêu âm tử cung phần phụ | 49.300 |
82 | 18.0020.0001 | Siêu âm thai (thai, nhau thai, nước ối) | 49.300 |
83 | 18.0026.0069 | Siêu âm Doppler thai nhi (thai, nhau thai, dây rốn, động mạch tử cung) | 84.800 |
84 | 18.0020.0001 | Siêu âm thai (thai, nhau thai, nước ối) | 49.300 |
85 | 18.0034.0001 | Siêu âm thai nhi trong 3 tháng đầu | 49.300 |
86 | 18.0035.0001 | Siêu âm thai nhi trong 3 tháng giữa | 49.300 |
87 | 18.0036.0001 | Siêu âm thai nhi trong 3 tháng cuối | 49.300 |
88 | 03.4252.0004 | Siêu âm tim thai qua thành bụng | 233.000 |
89 | 18.0054.0001 | Siêu âm tuyến vú hai bên | 49.300 |
90 | 02.0150.0114 | Hút đờm hầu họng | 12.200 |
91 | 03.0076.0114 | Hút đờm khí phế quản ở người bệnh sau đặt nội khí quản, mở khí quản, thở máy. | 12.200 |
92 | 02.0112.0004 | Siêu âm Doppler mạch máu | 233.000 |
93 | 01.0008.0100 | Đặt catheter tĩnh mạch trung tâm nhiều nòng | 1.137.000 |
94 | 01.0009.0098 | Đặt catheter động mạch | 1.379.000 |
95 | 01.0034.0299 | Hồi phục nhịp xoang cho người bệnh loạn nhịp bằng máy sốc điện | 485.000 |
96 | 01.0036.0192 | Tạo nhịp tim cấp cứu tạm thời với điện cực ngoài lồng ngực | 1.008.000 |
97 | 01.0041.0081 | Chọc dò màng ngoài tim cấp cứu | 259.000 |
98 | 01.0071.0120 | Mở khí quản cấp cứu | 734.000 |
99 | 01.0073.0120 | Mở khí quản thường quy | 734.000 |
