SỞ Y TẾ HÀ NỘI
BỆNH VIỆN TIM HÀ NỘI
VÌ MỘT TRÁI TIM KHỎE

BẢNG GIÁ BẢO HIỂM Y TẾ

===================================================================
MỤC LỤC
===================================================================
DANH MỤC                                             CHỈ MÀU ĐÁNH DẤU
1. BẢNG GIÁ KHÁM BỆNH VÀ NGÀY GIƯỜNG                 (tím)
2. BẢNG GIÁ XÉT NGHIỆM                                (cam)
3. BẢNG GIÁ THỦ THUẬT VÀ CHẨN ĐOÁN HÌNH ẢNH           (xanh lá)
4. BẢNG GIÁ CHỤP CỘNG HƯỞNG TỪ                        (vàng)
5. BẢNG GIÁ CHỤP CẮT LỚP VI TÍNH                      (đỏ)
6. BẢNG GIÁ CAN THIỆP TIM MẠCH                        (xanh dương)

Ghi chú chung: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT
của Bộ Y tế hiện hành (một số mục Chụp cắt lớp vi tính áp dụng thêm
điều kiện thanh toán tại Thông tư số 13/2020 của Bộ Y tế hiện hành).
Đơn vị tính: VNĐ

===================================================================
1. BẢNG GIÁ BẢO HIỂM Y TẾ - KHÁM BỆNH VÀ NGÀY GIƯỜNG ĐIỀU TRỊ
===================================================================
STT | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | Khám bệnh | 42.100 |
2 | Giường Nội khoa | 255.300 |
3 | Giường Hồi sức cấp cứu | 474.700 |
4 | Giường Hồi sức tích cực | 786.300 |
5 | Giường Ngoại khoa loại 1 | 339.000 |
6 | Giường Ngoại khoa loại 2 | 308.500 |
7 | Giường Ngoại khoa loại 3 | 270.500 |
8 | Giường Ngoại khoa loại 4 | 242.100 |

===================================================================
2. BẢNG GIÁ BẢO HIỂM Y TẾ - XÉT NGHIỆM
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
96 | 18.0160.0043 | Chụp CLVT hốc mắt (Không thuốc) (từ 64-128 dãy) | 532.000 |
97 | 18.0177.0042 | Chụp CLVT hàm mặt có dựng hình 3D (từ 64- 128 dãy) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
98 | 18.0170.0042 | Chụp CLVT sọ não có dựng hình 3D (từ 64-128 dãy) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
99 | 18.0241.0043 | Chụp CLVT đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo không tiêm thuốc cản quang (từ 64-128 dãy) | 532.000 |
100 | 18.0242.0042 | Chụp CLVT động mạch chủ-chậu có tiêm thuốc cản quang | 1.712.000 | Chưa bao gồm thuốc cản quang.
101 | 18.0177.0042 | Chụp CLVT hàm mặt có dựng hình 3D (từ 64- 128 dãy) có tiêm thuốc cản quang | 643.000 | Chưa bao gồm thuốc cản quang.
102 | 18.0165.0043 | Chụp CLVT sọ não có dựng hình 3D (từ 64-128 dãy) không tiêm thuốc cản quang | 532.000 |
103 | 18.0178.0047 | Chụp CLVT sọ não không tiêm thuốc cản quang (từ ≥ 256 dãy) | 532.000 |
104 | 18.0179.0046 | Chụp CLVT sọ não có tiêm thuốc cản quang (từ ≥ 256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
105 | 18.0180.0046 | Chụp CLVT hệ động mạch cảnh có tiêm thuốc cản quang (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
106 | 18.0181.0046 | Chụp CLVT tưới máu não (CT perfusion) (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
107 | 18.0182.0046 | Chụp CLVT mạch máu não (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
108 | 18.0183.0047 | Chụp CLVT sọ não có dựng hình 3D (từ ≥ 256 dãy) | 532.000 |
109 | 18.0184.0047 | Chụp CLVT hàm-mặt không tiêm thuốc cản quang (từ ≥ 256 dãy) | 532.000 |
110 | 18.0185.0046 | Chụp CLVT hàm-mặt có tiêm thuốc cản quang (từ ≥ 256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
111 | 18.0186.0047 | Chụp CLVT hàm mặt có ứng dụng phần mềm nha khoa (từ ≥ 256 dãy) | 532.000 |
112 | 18.0187.0047 | Chụp CLVT tai-xương đá không tiêm thuốc (từ ≥ 256 dãy) | 532.000 |
113 | 18.0188.0046 | Chụp CLVT tai-xương đá có tiêm thuốc cản quang (từ ≥ 256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
114 | 18.0189.0047 | Chụp CLVT hốc mắt (từ ≥ 256 dãy) | 532.000 |
115 | 18.0190.0047 | Chụp CLVT hàm mặt có dựng hình 3D (từ ≥ 256 dãy) | 532.000 |
116 | 18.0209.0047 | Chụp cắt lớp vi tính lồng ngực không tiêm thuốc cản quang (từ ≥ 256 dãy) [BỆNH NHÂN KHÔNG SUY HÔ HẤP] | 532.000 |
117 | 18.0210.0046 | Chụp cắt lớp vi tính lồng ngực có tiêm thuốc cản quang (từ ≥ 256 dãy) [BỆNH NHÂN KHÔNG SUY HÔ HẤP] | 643.000 | Chưa bao gồm thuốc cản quang.
118 | 18.0211.0047 | Chụp cắt lớp vi tính phổi độ phân giải cao (từ ≥ 256 dãy) | 532.000 |
119 | 18.0212.0047 | Chụp cắt lớp vi tính phổi liều thấp tầm soát u (từ ≥ 256 dãy) | 532.000 |
120 | 18.0213.0047 | Chụp cắt lớp vi tính nội soi ảo cây phế quản (từ ≥ 256 dãy) | 532.000 |
121 | 18.0214.0046 | Chụp cắt lớp vi tính động mạch phổi (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
122 | 18.0215.0046 | Chụp cắt lớp vi tính động mạch chủ ngực (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
123 | 18.0216.0046 | Chụp cắt lớp vi tính động mạch vành, tim có dùng thuốc beta block (từ ≥ 256 dãy) [nhịp tim trên 70 chu kỳ/phút (sau khi đã dùng thuốc giảm nhịp tim, hoặc trên người bệnh có chống chỉ định dùng thuốc làm giảm nhịp tim) hoặc có bất thường nhịp; bệnh lý tim mạch bẩm sinh ở trẻ em dưới 06 tuổi; bệnh lý tim mạch ở người từ đủ 70 tuổi trở lên] | 3.004.000 | Chưa bao gồm thuốc cản quang.
124 | 18.0217.0046 | Chụp cắt lớp vi tính động mạch vành, tim không dùng thuốc beta block (từ ≥ 256 dãy) [nhịp tim trên 70 chu kỳ/phút (sau khi đã dùng thuốc giảm nhịp tim, hoặc trên người bệnh có chống chỉ định dùng thuốc làm giảm nhịp tim) hoặc có bất thường nhịp; bệnh lý tim mạch bẩm sinh ở trẻ em dưới 06 tuổi; bệnh lý tim mạch ở người từ đủ 70 tuổi trở lên] | 3.004.000 | Chưa bao gồm thuốc cản quang.
125 | 18.0218.0047 | Chụp cắt lớp vi tính tính điểm vôi hóa mạch vành (từ ≥ 256 dãy) | 1.461.000 |
126 | 18.0243.0046 | Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ ≥ 256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
127 | 18.0243.0047 | Chụp cắt lớp vi tính tầng trên ổ bụng thường quy (gồm: chụp Cắt lớp vi tính gan-mật, tụy, lách, dạ dày-tá tràng.v.v.) (từ ≥ 256 dãy) | 532.000 |
128 | 18.0244.0046 | Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ ≥ 256 dãy) [có thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
129 | 18.0244.0047 | Chụp cắt lớp vi tính bụng-tiểu khung thường quy (từ ≥ 256 dãy) | 532.000 |
130 | 18.0246.0046 | Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ ≥ 256 dãy) [có thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
131 | 18.0246.0047 | Chụp cắt lớp vi tính hệ tiết niệu thường quy (từ ≥ 256 dãy) | 532.000 |
132 | 18.0247.0046 | Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (bao gồm mạch: gan, tụy, lách và mạch khối u) (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
133 | 18.0248.0046 | Chụp cắt lớp vi tính hệ tiết niệu có khảo sát mạch thận và/hoặc dựng hình đường bài xuất (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
134 | 18.0249.0046 | Chụp cắt lớp vi tính gan có dựng hình đường mật (từ ≥ 256 dãy) [có thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
135 | 18.0250.0046 | Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
136 | 18.0251.0047 | Chụp cắt lớp vi tính ruột non (entero-scan) không dùng sonde (từ ≥ 256 dãy) | 532.000 |
137 | 18.0252.0046 | Chụp cắt lớp vi tính ruột non (entero-scan) có dùng sonde (từ ≥ 256 dãy) [có thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
138 | 18.0253.0046 | Chụp cắt lớp vi tính đại tràng (colo-scan) dùng dịch hoặc hơi có nội soi ảo (từ ≥ 256 dãy) [có thuốc cản quang] | 643.000 | Chưa bao gồm thuốc cản quang.
139 | 18.0254.0046 | Chụp cắt lớp vi tính động mạch chủ-chậu (từ ≥ 256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
140 | 18.0282.0047 | Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang (từ ≥256 dãy) | 532.000 |
141 | 18.0283.0046 | Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (từ ≥256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
142 | 18.0284.0047 | Chụp cắt lớp vi tính cột sống ngực không tiêm thuốc cản quang (từ ≥256 dãy) | 532.000 |
143 | 18.0285.0046 | Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (từ ≥256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
144 | 18.0286.0047 | Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang (từ ≥256 dãy) | 532.000 |
145 | 18.0287.0046 | Chụp cắt lớp vi tính cột sống thắt lưng có tiêm thuốc cản quang (từ ≥256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
146 | 18.0288.0047 | Chụp cắt lớp vi tính khớp thường quy không tiêm thuốc cản quang (từ ≥256 dãy) | 532.000 |
147 | 18.0289.0046 | Chụp cắt lớp vi tính khớp thường quy có tiêm thuốc cản quang (từ ≥256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
148 | 18.0290.0046 | Chụp cắt lớp vi tính khớp có tiêm thuốc cản quang vào ổ khớp (từ ≥256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
149 | 18.0291.0047 | Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang (từ ≥256 dãy) | 532.000 |
150 | 18.0292.0046 | Chụp cắt lớp vi tính xương chi có tiêm thuốc cản quang (từ ≥256 dãy) | 643.000 | Chưa bao gồm thuốc cản quang.
151 | 18.0293.0048 | Chụp cắt lớp vi tính tầm soát toàn thân (từ ≥256 dãy) [có thuốc cản quang] [đánh giá các giai đoạn của u hoặc đa chấn thương] | 3.467.000 | Chưa bao gồm thuốc cản quang.
152 | 18.0293.0049 | Chụp cắt lớp vi tính tầm soát toàn thân (từ ≥256 dãy) [đánh giá các giai đoạn của u hoặc đa chấn thương] | 3.154.000 |
153 | 18.0294.0046 | Chụp cắt lớp vi tính mạch máu chi trên (từ ≥256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.
154 | 18.0295.0046 | Chụp cắt lớp vi tính mạch máu chi dưới (từ ≥256 dãy) | 1.712.000 | Chưa bao gồm thuốc cản quang.

===================================================================
6. BẢNG GIÁ BẢO HIỂM Y TẾ - CAN THIỆP TIM MẠCH
===================================================================
STT | Mã tương đương | DỊCH VỤ KỸ THUẬT | GIÁ BHYT CHI TRẢ TỐI ĐA | GHI CHÚ
1 | 18.0501.0052 | Chụp động mạch não số hóa xóa nền (DSA) | 5.686.000 |
2 | 18.0503.0052 | Chụp động mạch chủ số hóa xóa nền (DSA) | 5.686.000 |
3 | 18.0504.0052 | Chụp động mạch chậu số hóa xóa nền (DSA) | 5.686.000 |
4 | 18.0505.0052 | Chụp động mạch chi (trên, dưới) số hóa xóa nền (DSA) | 5.686.000 |
5 | 18.0506.0052 | Chụp động mạch phổi số hóa xóa nền (DSA) | 5.686.000 |
6 | 18.0509.0052 | Chụp động mạch tạng (gan, lách, thận, tử cung, sinh dục..) số hóa xóa nền (DSA) | 5.686.000 |
7 | 18.0511.0052 | Chụp tĩnh mạch số hóa xóa nền (DSA) | 5.686.000 |
8 | 18.0514.0052 | Chụp tĩnh mạch chi số hóa xóa nền (DSA) | 5.686.000 |
9 | 18.0515.0052 | Chụp động mạch các loại chọc kim trực tiếp số hóa xóa nền (DSA) | 5.686.000 |
10 | 18.0516.0055 | Chụp và can thiệp mạch chủ ngực số hóa xóa nền | 9.176.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp: bóng nong, bộ bơm áp lực, stent, keo nút mạch, các vật liệu nút mạch, các vi ống thông, vi dây dẫn, các vòng xoắn kim loại.
11 | 18.0517.0055 | Chụp và can thiệp mạch chủ bụng số hóa xóa nền | 9.176.000 | (như trên)
12 | 18.0518.0055 | Chụp, nong động mạch chi (trên, dưới) số hóa xóa nền | 9.176.000 | (như trên)
13 | 18.0519.0055 | Chụp, nong và đặt Stent động mạch chi (trên, dưới) số hóa xóa nền | 9.176.000 | (như trên)
14 | 18.0520.0055 | Chụp và nút mạch dị dạng mạch chi (trên, dưới) số hóa xóa nền | 9.176.000 | (như trên)
15 | 18.0522.0055 | Chụp và can thiệp tĩnh mạch chi (trên, dưới) số hóa xóa nền | 9.176.000 | (như trên)
16 | 18.0525.0055 | Chụp và điều trị lấy huyết khối qua ống thông điều trị tắc mạch chi số hóa xóa nền | 9.176.000 | (như trên)
17 | 18.0543.0058 | Chụp, nong và đặt Stent động mạch thận số hóa xóa nền | 9.226.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp (bóng nong, bộ bơm áp lực, stent, keo nút mạch, các vật liệu nút mạch, các vi ống thông, vi dây dẫn, các vòng xoắn kim loại).
18 | 18.0562.0057 | Chụp, nong và đặt stent điều trị hẹp động mạch ngoài sọ (mạch cảnh, đốt sống) số hóa xóa nền | 9.776.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp (bóng nong, bộ bơm áp lực, stent, keo nút mạch, các vật liệu nút mạch, các vi ống thông, vi dây dẫn, các vòng xoắn kim loại, dụng cụ lấy dị vật, hút huyết khối).
19 | 18.0564.0057 | Chụp, nong và đặt Stent điều trị hẹp động mạch nội sọ số hóa xóa nền | 9.776.000 | (như trên)
20 | 18.0566.0057 | Chụp và can thiệp lấy huyết khối động mạch não số hóa xóa nền | 9.776.000 | (như trên)
21 | 18.0657.0053 | Chụp động mạch vành | 6.026.000 |
22 | 18.0658.0054 | Chụp, nong động mạch vành bằng bóng | 6.926.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp: bóng nong, stent, các vật liệu nút mạch, các loại ống thông hoặc vi ống thông, các loại dây dẫn hoặc vi dây dẫn, các vòng xoắn kim loại, dụng cụ lấy dị vật, bộ dụng cụ lấy huyết khối, bộ dụng cụ bít (bộ thả dù, dù các loại).
23 | 18.0659.0054 | Chụp, nong và đặt stent động mạch vành | 6.926.000 | (như trên)
24 | 18.0662.0054 | Nong van hai lá [dưới DSA] | 6.926.000 | (như trên)
25 | 18.0663.0054 | Nong van động mạch chủ [dưới DSA] | 6.926.000 | (như trên)
26 | 18.0664.0054 | Nong van động mạch phổi [dưới DSA] | 6.926.000 | (như trên)
27 | 18.0665.0054 | Bít thông liên nhĩ [dưới DSA] | 6.926.000 | (như trên)
28 | 18.0666.0054 | Bít thông liên thất [dưới DSA] | 6.926.000 | (như trên)
29 | 18.0667.0054 | Bít ống động mạch [dưới DSA] | 6.926.000 | (như trên)
30 | 18.0669.0391 | Đặt máy tạo nhịp | 1.718.000 | Chưa bao gồm máy tạo nhịp, máy phá rung.
31 | 18.0670.0391 | Đặt máy tạo nhịp phá rung | 1.718.000 | Chưa bao gồm máy tạo nhịp, máy phá rung.
32 | 18.0671.1816 | Thăm dò điện sinh lý trong buồng tim | 1.997.000 | Chưa bao gồm bộ dụng cụ thăm dò điện sinh lý tim.
33 | 18.0672.0055 | Chụp nong động mạch ngoại biên bằng bóng [dưới DSA] | 9.176.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp: bóng nong, bộ bơm áp lực, stent, keo nút mạch, các vật liệu nút mạch, các vi ống thông, vi dây dẫn, các vòng xoắn kim loại.
34 | 18.0675.0055 | Đặt stent động mạch chủ [dưới DSA] | 9.176.000 | (như trên)
35 | 18.0681.0058 | Chụp và nút mạch điều trị phì đại lành tính tuyến tiền liệt | 9.226.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp: bóng nong, bộ bơm áp lực, stent, các vật liệu nút mạch, các vi ống thông, vi dây dẫn, các vòng xoắn kim loại.
36 | 02.0118.0009 | Siêu âm trong lòng mạch vành (iVUS) | 2.023.000 | Chưa bao gồm bộ đầu dò siêu âm, bộ dụng cụ đo dự trữ lưu lượng động mạch vành và các dụng cụ để đưa vào lòng mạch.
37 | 03.2310.0054 | Khoan các tổn thương vôi hóa ở động mạch | 6.926.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp: bóng nong, stent, các vật liệu nút mạch, các loại ống thông hoặc vi ống thông, các loại dây dẫn hoặc vi dây dẫn, các vòng xoắn kim loại, dụng cụ lấy dị vật, bộ dụng cụ lấy huyết khối, bộ dụng cụ bít (bộ thả dù, dù các loại).
38 | 02.0088.0107 | Điều trị suy tĩnh mạch bằng Laser nội mạch | 2.073.000 | Chưa bao gồm bộ dụng cụ mở mạch máu và ống thông điều trị laser.
39 | 02.0089.0108 | Điều trị suy tĩnh mạch bằng năng lượng sóng tần số radio | 1.973.000 | Chưa bao gồm bộ dụng cụ mở mạch máu và ống thông điều trị RF.
40 | 02.0092.0054 | Đóng các lỗ rò động mạch, tĩnh mạch | 6.926.000 | Chưa bao gồm vật tư chuyên dụng dùng để can thiệp: bóng nong, stent, các vật liệu nút mạch, các loại ống thông hoặc vi ống thông, các loại dây dẫn hoặc vi dây dẫn, các vòng xoắn kim loại, dụng cụ lấy dị vật, bộ dụng cụ lấy huyết khối, bộ dụng cụ bít (bộ thả dù, dù các loại).
41 | 02.0464.0391 | Thay máy tạo nhịp tim, cập nhật máy tạo nhịp tim | 1.718.000 | Chưa bao gồm máy tạo nhịp, máy phá rung.

===================================================================
Ghi chú: Bảng giá BHYT áp dụng theo Thông tư số 22/2023/TT-BYT của Bộ Y tế hiện hành.
Đơn vị tính: VNĐ
===================================================================
